Dane zostały wczytane poprawnie!
R: 34903, P: 59, Q: 28609
R: 10096, P: 8, Q: 19943
R: 10397, P: 49, Q: 12985
R: 35696, P: 59, Q: 18931
R: 22309, P: 88, Q: 28121
R: 23005, P: 31, Q: 32521
R: 20281, P: 44, Q: 25333
R: 23862, P: 43, Q: 29092
R: 12143, P: 97, Q: 7024
R: 220, P: 25, Q: 32167
R: 15584, P: 78, Q: 17902
R: 1478, P: 65, Q: 32668
R: 33716, P: 60, Q: 28883
R: 15065, P: 87, Q: 18798
R: 26305, P: 38, Q: 760
R: 35999, P: 31, Q: 6740
R: 13660, P: 11, Q: 13307
R: 20103, P: 50, Q: 6687
R: 17070, P: 9, Q: 9664
R: 34082, P: 80, Q: 20532
R: 7970, P: 17, Q: 7157
R: 11125, P: 57, Q: 11812
R: 12925, P: 56, Q: 34224
R: 27642, P: 11, Q: 19851
R: 20628, P: 54, Q: 6169
R: 22946, P: 59, Q: 20225
R: 11893, P: 69, Q: 1649
R: 23725, P: 39, Q: 11205
R: 15659, P: 86, Q: 30357
R: 12840, P: 81, Q: 31719
R: 16808, P: 55, Q: 29524
R: 24277, P: 81, Q: 12208
R: 6420, P: 39, Q: 7575
R: 20378, P: 64, Q: 14405
R: 8106, P: 66, Q: 12717
R: 25159, P: 65, Q: 6539
R: 1688, P: 61, Q: 13216
R: 32330, P: 53, Q: 9434
R: 19082, P: 83, Q: 14130
R: 5884, P: 44, Q: 11453
R: 12451, P: 81, Q: 12555
R: 31956, P: 24, Q: 267
R: 1163, P: 43, Q: 35437
R: 36759, P: 69, Q: 18061
R: 19553, P: 41, Q: 23445
R: 25690, P: 11, Q: 29298
R: 7571, P: 11, Q: 35824
R: 33048, P: 8, Q: 34079
R: 13474, P: 33, Q: 2151
R: 15860, P: 58, Q: 7240
R: 31785, P: 88, Q: 2351
R: 33075, P: 59, Q: 23986
R: 10800, P: 73, Q: 13895
R: 6202, P: 44, Q: 14357
R: 8319, P: 59, Q: 4249
R: 10309, P: 93, Q: 26994
R: 36706, P: 21, Q: 24904
R: 6602, P: 64, Q: 33289
R: 22532, P: 39, Q: 5856
R: 4041, P: 51, Q: 35222
R: 29028, P: 78, Q: 20864
R: 35635, P: 26, Q: 34147
R: 10961, P: 93, Q: 22934
R: 21465, P: 86, Q: 28355
R: 35970, P: 54, Q: 32868
R: 16999, P: 10, Q: 26794
R: 27458, P: 1, Q: 17073
R: 451, P: 88, Q: 8073
R: 27733, P: 4, Q: 28452
R: 34204, P: 16, Q: 7025
R: 15648, P: 82, Q: 8177
R: 2296, P: 55, Q: 13478
R: 14963, P: 7, Q: 20030
R: 2320, P: 21, Q: 30965
R: 29327, P: 40, Q: 15471
R: 35586, P: 60, Q: 12787
R: 25975, P: 64, Q: 29751
R: 23380, P: 58, Q: 28332
R: 26989, P: 85, Q: 36829
R: 7946, P: 40, Q: 29660
R: 7070, P: 87, Q: 8373
R: 8469, P: 31, Q: 24553
R: 11413, P: 70, Q: 35053
R: 21751, P: 1, Q: 35980
R: 27882, P: 22, Q: 10422
R: 13887, P: 30, Q: 19201
R: 19284, P: 25, Q: 8229
R: 18185, P: 63, Q: 12278
R: 34216, P: 27, Q: 9633
R: 21183, P: 92, Q: 36510
R: 23668, P: 1, Q: 36017
R: 29520, P: 28, Q: 4134
R: 14405, P: 35, Q: 8590
R: 3908, P: 100, Q: 17143
R: 31331, P: 66, Q: 35751
R: 17501, P: 16, Q: 36226
R: 31324, P: 71, Q: 7917
R: 16509, P: 40, Q: 23966
R: 11369, P: 41, Q: 6394
R: 26843, P: 42, Q: 11299
R: 32911, P: 60, Q: 30098
R: 6180, P: 7, Q: 17371
R: 21566, P: 79, Q: 28777
R: 30859, P: 13, Q: 12003
R: 9579, P: 84, Q: 30890
R: 20171, P: 43, Q: 14475
R: 20789, P: 99, Q: 29340
R: 16167, P: 57, Q: 2848
R: 3571, P: 94, Q: 18383
R: 32887, P: 82, Q: 29284
R: 31261, P: 96, Q: 20222
R: 6777, P: 7, Q: 5113
R: 15948, P: 88, Q: 27176
R: 26725, P: 89, Q: 10922
R: 5523, P: 93, Q: 3534
R: 36532, P: 42, Q: 18438
R: 18851, P: 61, Q: 14420
R: 36813, P: 21, Q: 10809
R: 13751, P: 97, Q: 5995
R: 8547, P: 43, Q: 34359
R: 25766, P: 8, Q: 21508
R: 31980, P: 52, Q: 32402
R: 15243, P: 1, Q: 20307
R: 27542, P: 87, Q: 16853
R: 24871, P: 70, Q: 9127
R: 19712, P: 42, Q: 15779
R: 36857, P: 41, Q: 20857
R: 33744, P: 31, Q: 14593
R: 31302, P: 16, Q: 34125
R: 15879, P: 13, Q: 17790
R: 7868, P: 41, Q: 33661
R: 21574, P: 28, Q: 21432
R: 5125, P: 96, Q: 22791
R: 21447, P: 22, Q: 21170
R: 10778, P: 65, Q: 14084
R: 4769, P: 36, Q: 24512
R: 26265, P: 25, Q: 33956
R: 943, P: 93, Q: 9579
R: 11804, P: 25, Q: 402
R: 22224, P: 29, Q: 23348
R: 14012, P: 41, Q: 29542
R: 29835, P: 77, Q: 19910
R: 6867, P: 97, Q: 32991
R: 24687, P: 94, Q: 24464
R: 26154, P: 2, Q: 7449
R: 31530, P: 61, Q: 30156
R: 34105, P: 76, Q: 354
R: 23790, P: 16, Q: 28564
R: 34693, P: 26, Q: 7006
R: 26546, P: 23, Q: 14423
R: 6191, P: 11, Q: 33658
R: 26139, P: 7, Q: 32443
R: 15568, P: 50, Q: 27433
R: 2756, P: 68, Q: 35774
R: 36913, P: 50, Q: 23730
R: 34138, P: 65, Q: 33098
R: 22833, P: 35, Q: 2894
R: 25652, P: 53, Q: 35453
R: 12498, P: 57, Q: 28942
R: 15509, P: 59, Q: 35636
R: 15667, P: 80, Q: 36001
R: 19274, P: 63, Q: 13515
R: 25536, P: 25, Q: 18488
R: 18458, P: 67, Q: 3072
R: 1170, P: 81, Q: 34791
R: 19296, P: 48, Q: 24462
R: 16290, P: 72, Q: 15695
R: 31099, P: 37, Q: 26350
R: 32635, P: 78, Q: 11350
R: 4911, P: 89, Q: 19582
R: 7821, P: 41, Q: 32337
R: 1270, P: 99, Q: 28861
R: 13805, P: 32, Q: 36280
R: 28740, P: 67, Q: 5566
R: 35198, P: 63, Q: 4974
R: 22425, P: 18, Q: 17901
R: 15954, P: 41, Q: 24601
R: 15638, P: 33, Q: 4260
R: 15170, P: 17, Q: 13737
R: 3691, P: 97, Q: 80
R: 30469, P: 10, Q: 29640
R: 8606, P: 13, Q: 33234
R: 6193, P: 92, Q: 6297
R: 23695, P: 25, Q: 28083
R: 36439, P: 33, Q: 24334
R: 26722, P: 68, Q: 9236
R: 6123, P: 91, Q: 1933
R: 17456, P: 39, Q: 14251
R: 11916, P: 24, Q: 1882
R: 32067, P: 61, Q: 21787
R: 15018, P: 67, Q: 17974
R: 19630, P: 20, Q: 36190
R: 5926, P: 15, Q: 8800
R: 30909, P: 24, Q: 27801
R: 27190, P: 85, Q: 33142
R: 19458, P: 67, Q: 17079
R: 12795, P: 95, Q: 29619
R: 33326, P: 38, Q: 30887
R: 8733, P: 79, Q: 21881
R: 34458, P: 10, Q: 12874
R: 11248, P: 19, Q: 34228
R: 2329, P: 52, Q: 4737
R: 14346, P: 76, Q: 26632
R: 20000, P: 15, Q: 30688
R: 17911, P: 87, Q: 17869
R: 23794, P: 77, Q: 2263
R: 26555, P: 10, Q: 2152
R: 15207, P: 73, Q: 5520
R: 1010, P: 86, Q: 25621
R: 31597, P: 50, Q: 34866
R: 6578, P: 1, Q: 22330
R: 36301, P: 23, Q: 20388
R: 21387, P: 58, Q: 9742
R: 32620, P: 88, Q: 8396
R: 18275, P: 25, Q: 9685
R: 28246, P: 63, Q: 12102
R: 12174, P: 57, Q: 34850
R: 878, P: 5, Q: 12342
R: 7575, P: 34, Q: 36991
R: 13624, P: 49, Q: 35518
R: 2909, P: 21, Q: 31826
R: 23429, P: 39, Q: 17251
R: 23325, P: 45, Q: 18670
R: 35365, P: 1, Q: 19954
R: 31483, P: 63, Q: 11278
R: 10051, P: 8, Q: 3339
R: 6051, P: 19, Q: 34351
R: 3924, P: 4, Q: 3252
R: 11605, P: 21, Q: 14578
R: 31724, P: 36, Q: 26816
R: 11426, P: 70, Q: 23054
R: 9783, P: 87, Q: 28806
R: 19719, P: 41, Q: 24644
R: 8343, P: 96, Q: 29745
R: 20503, P: 91, Q: 19206
R: 19382, P: 97, Q: 4231
R: 32532, P: 75, Q: 9646
R: 6150, P: 44, Q: 8657
R: 20978, P: 8, Q: 30251
R: 32309, P: 18, Q: 28522
R: 18408, P: 81, Q: 36543
R: 11642, P: 53, Q: 4144
R: 33736, P: 72, Q: 33680
R: 5629, P: 97, Q: 13957
R: 27297, P: 72, Q: 9557
R: 4628, P: 24, Q: 35521
R: 15917, P: 36, Q: 10802
R: 514, P: 96, Q: 7679
R: 18335, P: 23, Q: 3023
R: 1350, P: 83, Q: 34545
R: 9072, P: 40, Q: 12797
R: 6681, P: 94, Q: 34022
R: 16309, P: 19, Q: 21458
R: 6721, P: 94, Q: 27889
R: 14276, P: 81, Q: 5575
R: 16953, P: 20, Q: 4
R: 24941, P: 10, Q: 29220
R: 33379, P: 94, Q: 18972
R: 22917, P: 37, Q: 2866
R: 10798, P: 68, Q: 17405
R: 14401, P: 71, Q: 30254
R: 30176, P: 19, Q: 29192
R: 8536, P: 37, Q: 13058
R: 319, P: 84, Q: 20239
R: 21963, P: 27, Q: 8887
R: 6841, P: 54, Q: 21346
R: 31288, P: 76, Q: 7493
R: 3462, P: 21, Q: 5301
R: 18616, P: 38, Q: 13423
R: 18920, P: 86, Q: 18648
R: 22907, P: 55, Q: 16058
R: 5682, P: 72, Q: 10654
R: 36212, P: 60, Q: 11670
R: 32764, P: 70, Q: 6031
R: 18863, P: 16, Q: 36316
R: 16449, P: 92, Q: 32748
R: 20141, P: 84, Q: 35831
R: 6345, P: 95, Q: 18572
R: 24378, P: 53, Q: 27473
R: 16222, P: 27, Q: 7809
R: 30395, P: 15, Q: 20886
R: 10189, P: 51, Q: 2475
R: 8232, P: 23, Q: 35695
R: 33632, P: 99, Q: 16554
R: 15059, P: 87, Q: 36340
R: 19473, P: 59, Q: 31527
R: 28944, P: 44, Q: 17592
R: 27449, P: 12, Q: 12138
R: 10363, P: 10, Q: 3371
R: 23425, P: 94, Q: 29729
R: 20620, P: 80, Q: 33867
R: 6367, P: 93, Q: 10248
R: 11549, P: 62, Q: 18133
R: 20178, P: 60, Q: 7109
R: 34852, P: 29, Q: 2002
R: 24028, P: 74, Q: 9085
R: 3521, P: 15, Q: 32797
R: 3658, P: 41, Q: 5940
R: 3625, P: 88, Q: 32587
R: 20376, P: 55, Q: 24398
R: 4073, P: 57, Q: 1699
R: 3212, P: 54, Q: 35342
R: 478, P: 92, Q: 36258
R: 6717, P: 66, Q: 5252
R: 7704, P: 26, Q: 3499
R: 36975, P: 10, Q: 2852
R: 30985, P: 14, Q: 28499
R: 35005, P: 68, Q: 12068
R: 36869, P: 18, Q: 30995
R: 1111, P: 93, Q: 3549
R: 7999, P: 64, Q: 13025
R: 2006, P: 78, Q: 22223
R: 36534, P: 23, Q: 6203
R: 33836, P: 56, Q: 18302
R: 26203, P: 55, Q: 23276
R: 9336, P: 2, Q: 12361
R: 10698, P: 11, Q: 27469
R: 35461, P: 53, Q: 11765
R: 24548, P: 80, Q: 6913
R: 33512, P: 86, Q: 21539
R: 1701, P: 38, Q: 17342
R: 19168, P: 29, Q: 31035
R: 4025, P: 73, Q: 7822
R: 9337, P: 45, Q: 2632
R: 21256, P: 92, Q: 5559
R: 14742, P: 28, Q: 276
R: 8793, P: 86, Q: 33636
R: 23038, P: 86, Q: 639
R: 35058, P: 10, Q: 28551
R: 5774, P: 98, Q: 34081
R: 33576, P: 79, Q: 3652
R: 33174, P: 52, Q: 21420
R: 5293, P: 32, Q: 17278
R: 19067, P: 5, Q: 6496
R: 16497, P: 59, Q: 19883
R: 27335, P: 29, Q: 14395
R: 30405, P: 1, Q: 27143
R: 15521, P: 30, Q: 6096
R: 5279, P: 18, Q: 17517
R: 26797, P: 28, Q: 19573
R: 6422, P: 15, Q: 5673
R: 35085, P: 11, Q: 12905
R: 29263, P: 34, Q: 1873
R: 20845, P: 76, Q: 16552
R: 18509, P: 54, Q: 31209
R: 26685, P: 3, Q: 21671
R: 30526, P: 9, Q: 35096
R: 6302, P: 83, Q: 29147
R: 24684, P: 77, Q: 29928
R: 21694, P: 99, Q: 28127
R: 22633, P: 84, Q: 29838
R: 19621, P: 22, Q: 30434
R: 9461, P: 33, Q: 33859
R: 11391, P: 40, Q: 8673
R: 11262, P: 11, Q: 36288
R: 29657, P: 21, Q: 7510
R: 32049, P: 54, Q: 19202
R: 20280, P: 41, Q: 31718
R: 20360, P: 76, Q: 34967
R: 11063, P: 80, Q: 13091
R: 209, P: 77, Q: 2671
R: 2134, P: 34, Q: 20230
R: 14476, P: 20, Q: 10044
R: 11, P: 55, Q: 32277
R: 5338, P: 16, Q: 29282
R: 14756, P: 6, Q: 32941
R: 7467, P: 36, Q: 697
R: 16456, P: 41, Q: 29868
R: 19970, P: 18, Q: 32238
R: 12954, P: 40, Q: 7494
R: 28614, P: 17, Q: 14269
R: 18374, P: 99, Q: 25907
R: 1880, P: 55, Q: 561
R: 1298, P: 50, Q: 23627
R: 20356, P: 65, Q: 35528
R: 33289, P: 82, Q: 24064
R: 5575, P: 70, Q: 33825
R: 11481, P: 7, Q: 25111
R: 1950, P: 40, Q: 36091
R: 2046, P: 72, Q: 11730
R: 34549, P: 26, Q: 17074
R: 36810, P: 61, Q: 9971
R: 4891, P: 35, Q: 10459
R: 11382, P: 98, Q: 5327
R: 2851, P: 75, Q: 26134
R: 8029, P: 78, Q: 1011
R: 25608, P: 95, Q: 28899
R: 31701, P: 66, Q: 3970
R: 32981, P: 55, Q: 12058
R: 34410, P: 78, Q: 26575
R: 27797, P: 58, Q: 1556
R: 7589, P: 89, Q: 24020
R: 29026, P: 87, Q: 19066
R: 26419, P: 49, Q: 35765
R: 1519, P: 62, Q: 27146
R: 34459, P: 31, Q: 35282
R: 34928, P: 49, Q: 12765
R: 36200, P: 79, Q: 14656
R: 3720, P: 33, Q: 16292
R: 2554, P: 68, Q: 24115
R: 18031, P: 98, Q: 3419
R: 1623, P: 54, Q: 22837
R: 22903, P: 46, Q: 31712
R: 3075, P: 58, Q: 4711
R: 35489, P: 48, Q: 21362
R: 7237, P: 96, Q: 29954
R: 12516, P: 35, Q: 14871
R: 2531, P: 48, Q: 2376
R: 526, P: 43, Q: 7253
R: 32055, P: 80, Q: 5508
R: 36115, P: 92, Q: 36645
R: 26842, P: 16, Q: 20240
R: 14237, P: 59, Q: 18351
R: 31207, P: 46, Q: 5311
R: 31666, P: 51, Q: 21984
R: 31457, P: 41, Q: 19640
R: 23668, P: 63, Q: 12004
R: 3496, P: 16, Q: 24362
R: 4386, P: 63, Q: 27773
R: 18811, P: 64, Q: 33703
R: 5850, P: 23, Q: 16411
R: 14722, P: 87, Q: 15452
R: 17660, P: 52, Q: 20540
R: 6337, P: 51, Q: 20003
R: 4041, P: 6, Q: 17127
R: 17212, P: 27, Q: 12044
R: 12071, P: 14, Q: 34035
R: 33339, P: 43, Q: 24044
R: 8627, P: 70, Q: 28587
R: 27196, P: 75, Q: 16123
R: 28471, P: 89, Q: 31117
R: 19116, P: 14, Q: 7243
R: 30505, P: 9, Q: 34168
R: 9458, P: 40, Q: 16558
R: 8681, P: 65, Q: 3862
R: 24960, P: 91, Q: 13938
R: 23579, P: 86, Q: 14367
R: 27499, P: 91, Q: 25751
R: 9599, P: 68, Q: 33006
R: 2314, P: 60, Q: 35356
R: 3619, P: 94, Q: 29475
R: 10993, P: 18, Q: 5
R: 33394, P: 54, Q: 4127
R: 14245, P: 92, Q: 500
R: 18516, P: 91, Q: 21364
R: 13455, P: 85, Q: 32046
R: 27356, P: 79, Q: 6146
R: 1399, P: 67, Q: 29032
R: 14236, P: 54, Q: 30065
R: 13569, P: 65, Q: 9524
R: 26783, P: 48, Q: 33071
R: 21364, P: 88, Q: 36385
R: 34371, P: 98, Q: 1646
R: 19307, P: 70, Q: 16245
R: 22224, P: 85, Q: 5034
R: 9655, P: 98, Q: 34327
R: 3894, P: 80, Q: 9978
R: 16783, P: 72, Q: 31158
R: 4438, P: 44, Q: 35622
R: 31453, P: 6, Q: 11218
R: 23019, P: 69, Q: 252
R: 7879, P: 72, Q: 26986
R: 32687, P: 59, Q: 32311
R: 13237, P: 3, Q: 35294
R: 545, P: 30, Q: 26734
R: 32721, P: 15, Q: 32113
R: 34684, P: 97, Q: 18541
R: 18825, P: 78, Q: 32755
R: 23603, P: 63, Q: 21067
R: 19078, P: 99, Q: 32632
R: 31906, P: 8, Q: 1681
R: 22943, P: 80, Q: 22834
R: 27951, P: 22, Q: 28662
R: 17054, P: 54, Q: 29911
R: 21607, P: 91, Q: 15349
R: 24270, P: 83, Q: 17368
R: 15168, P: 48, Q: 17290
R: 13289, P: 49, Q: 25688
R: 5207, P: 20, Q: 4028
R: 3981, P: 87, Q: 8827
R: 1604, P: 57, Q: 22430
R: 13445, P: 25, Q: 15772
R: 15426, P: 36, Q: 16879
R: 22495, P: 35, Q: 23614
R: 35048, P: 75, Q: 11807
R: 7798, P: 43, Q: 25587
R: 13512, P: 69, Q: 4751
R: 13767, P: 7, Q: 24887
R: 29197, P: 30, Q: 59
R: 19451, P: 56, Q: 6844
R: 9768, P: 9, Q: 27287
R: 24541, P: 83, Q: 6743
R: 1829, P: 33, Q: 35234
R: 6370, P: 47, Q: 31122
R: 28329, P: 92, Q: 4048
R: 21206, P: 85, Q: 6516
R: 26096, P: 84, Q: 25883
R: 20065, P: 6, Q: 9985
R: 715, P: 23, Q: 7015
R: 15187, P: 54, Q: 8182
